글번호,등록일자,등록시간,등록자이름,이메일,비밀번호,글내용,,
11,2021-05-14,10:10:50,낭시우,Kor011@naver.com,1234,"대한민국의 국민이 되는 요건은 법률로 정한다. 모든 국민은 법률이 정하는 바에 의하여 납세의 의무를 진다. 국무위원은 국정에 관하여 대통령을 보좌하며, 국무회의의 구성원으로서 국정을 심의한다. 국회나 그 위원회의 요구가 있을 때에는 국무총리·국무위원 또는 정부위원은 출석·답변하여야 하며, 국무총리 또는 국무위원이 출석요구를 받은 때에는 국무위원 또는 정부위원으로 하여금 출석·답변하게 할 수 있다.",,
12,2021-05-28,10:10:07,내세원,Kor012@naver.com,1234,제3항의 승인을 얻지 못한 때에는 그 처분 또는 명령은 그때부터 효력을 상실한다. 이 경우 그 명령에 의하여 개정?,,
13,2021-05-21,10:10:14,뇌성수,Kor013@naver.com,1234,"국회의 정기회는 법률이 정하는 바에 의하여 매년 1회 집회되며, 국회의 임시회는 대통령 또는 국회재적의원 4분의 1 이상의 요구에 의하여 집회된다. 체포·구속·압수 또는 수색을 할 때에는 적법한 절차에 따라 검사의 신청에 의하여 법관이 발부한 영장을 제시하여야 한다. 다만, 현행범인인 경우와 장기 3년 이상의 형에 해당하는 죄를 범하고 도피 또는 증거인멸의 염려가 있을 때에는 사후에 영장을 청구할 수 있다.",,
14,2021-05-31,10:10:08,단수혁,Kor014@naver.com,1234,"모든 국민은 소급입법에 의하여 참정권의 제한을 받거나 재산권을 박탈당하지 아니한다. 대법원에 대법관을 둔다. 다만, 법률이 정하는 바에 의하여 대법관이 아닌 법관을 둘 수 있다. 정부는 예산에 변경을 가할 필요가 있을 때에는 추가경정예산안을 편성하여 국회에 제출할 수 있다. 지방의회의 조직·권한·의원선거와 지방자치단체의 장의 선임방법 기타 지방자치단체의 조직과 운영에 관한 사항은 법률로 정한다.",,
15,2021-05-15,10:10:15,담성민,Kor015@naver.com,1234,국회의원은 법률이 정하는 직을 겸할 수 없다. 국가는 사회보장·사회복지의 증진에 노력할 의무를 진다. 누구든지 체포 또는 구속의 이유와 변호인의 조력을 받을 권리가 있음을 고지받지 아니하고는 체포 또는 구속을 당하지 아니한다. 체포 또는 구속을 당한 자의 가족등 법률이 정하는 자에게는 그 이유와 일시·장소가 지체없이 통지되어야 한다.,,
16,2021-05-22,10:10:56,담원준,Kor016@naver.com,1234,"모든 국민은 법률이 정하는 바에 의하여 국가기관에 문서로 청원할 권리를 가진다. 재산권의 행사는 공공복리에 적합하도록 하여야 한다. 국회의원은 국가이익을 우선하여 양심에 따라 직무를 행한다. 감사위원은 원장의 제청으로 대통령이 임명하고, 그 임기는 4년으로 하며, 1차에 한하여 중임할 수 있다.",,
17,2021-05-29,10:10:24,담장호,Kor017@naver.com,1234,국회의원은 국회에서 직무상 행한 발언과 표결에 관하여 국회외에서 책임을 지지 아니한다. 대통령·국무총리·국무위원·행정각부의 장·헌법재판소 재판관·법관·중앙선거관리위원회 위원·감사원장·감사위원 기타 법률이 정한 공무원이 그 직무집행에 있어서 헌법이나 법률을 위배한 때에는 국회는 탄핵의 소추를 의결할 수 있다.,,
18,2021-05-01,10:10:15,관창,Kor018@naver.com,1234,"국무총리는 국회의 동의를 얻어 대통령이 임명한다. 대한민국의 경제질서는 개인과 기업의 경제상의 자유와 창의를 존중함을 기본으로 한다. 헌법개정안이 제2항의 찬성을 얻은 때에는 헌법개정은 확정되며, 대통령은 즉시 이를 공포하여야 한다. 위원은 정당에 가입하거나 정치에 관여할 수 없다. 대통령은 국무총리·국무위원·행정각부의 장 기타 법률이 정하는 공사의 직을 겸할 수 없다.",,
19,2021-05-20,10:10:21,윤집,Kor019@naver.com,1234,통신·방송의 시설기준과 신문의 기능을 보장하기 위하여 필요한 사항은 법률로 정한다. 대통령은 헌법과 법률이 정하는 바에 의하여 국군을 통수한다. 국회의원은 그 지위를 남용하여 국가·공공단체 또는 기업체와의 계약이나 그 처분에 의하여 재산상의 권리·이익 또는 직위를 취득하거나 타인을 위하여 그 취득을 알선할 수 없다.,,
20,2021-05-31,10:10:26,지눌,Kor020@naver.com,1234,"대통령은 법률에서 구체적으로 범위를 정하여 위임받은 사항과 법률을 집행하기 위하여 필요한 사항에 관하여 대통령령을 발할 수 있다. 일반사면을 명하려면 국회의 동의를 얻어야 한다. 모든 국민은 행위시의 법률에 의하여 범죄를 구성하지 아니하는 행위로 소추되지 아니하며, 동일한 범죄에 대하여 거듭 처벌받지 아니한다.",,
21,2021-05-12,10:10:31,조려,Kor021@naver.com,1234,광물 기타 중요한 지하자원·수산자원·수력과 경제상 이용할 수 있는 자연력은 법률이 정하는 바에 의하여 일정한 기간 그 채취·개발 또는 이용을 특허할 수 있다. 군인은 현역을 면한 후가 아니면 국무총리로 임명될 수 없다. 대통령은 제3항과 제4항의 사유를 지체없이 공포하여야 한다. 타인의 범죄행위로 인하여 생명·신체에 대한 피해를 받은 국민은 법률이 정하는 바에 의하여 국가로부터 구조를 받을 수 있다.,,
22,2021-05-14,10:10:23,홍익한,Kor022@naver.com,1234,국회의원의 선거구와 비례대표제 기타 선거에 관한 사항은 법률로 정한다. 대법원장은 국회의 동의를 얻어 대통령이 임,,
23,2021-05-05,10:10:07,김정호,Kor023@naver.com,1234,"누구든지 체포 또는 구속을 당한 때에는 적부의 심사를 법원에 청구할 권리를 가진다. 근로자는 근로조건의 향상을 위하여 자주적인 단결권·단체교섭권 및 단체행동권을 가진다. 정기회의 회기는 100일을, 임시회의 회기는 30일을 초과할 수 없다. 군인은 현역을 면한 후가 아니면 국무위원으로 임명될 수 없다.",,
24,2021-05-22,10:10:22,정약용,Kor024@naver.com,1234,"헌법에 의하여 체결·공포된 조약과 일반적으로 승인된 국제법규는 국내법과 같은 효력을 가진다. 국가는 여자의 복지와 권익의 향상을 위하여 노력하여야 한다. 헌법재판소의 조직과 운영 기타 필요한 사항은 법률로 정한다. 공공필요에 의한 재산권의 수용·사용 또는 제한 및 그에 대한 보상은 법률로써 하되, 정당한 보상을 지급하여야 한다.",,
25,2021-05-09,10:10:24,이담지,Kor025@naver.com,1234,피고인의 자백이 고문·폭행·협박·구속의 부당한 장기화 또는 기망 기타의 방법에 의하여 자의로 진술된 것이 아니라고 인정될 때 또는 정식재판에 있어서 피고인의 자백이 그에게 불리한 유일한 증거일 때에는 이를 유죄의 증거로 삼거나 이를 이유로 처벌할 수 없다. 행정각부의 설치·조직과 직무범위는 법률로 정한다.,,
26,2021-05-28,10:10:04,박수혁,Kor026@naver.com,1234,이 헌법시행 당시의 대법원장과 대법원판사가 아닌 법관은 제1항 단서의 규정에 불구하고 이 헌법에 의하여 임명된 것으로 본다. 법률이 정하는 주요방위산업체에 종사하는 근로자의 단체행동권은 법률이 정하는 바에 의하여 이를 제한하거나 인정하지 아니할 수 있다. 공무원의 직무상 불법행위로 손해를 받은 국민은 법률이 정하는 바에 의하여 국가 또는 공공단체에 정당한 배상을 청구할 수 있다. 이 경우 공무원 자신의 책임은 면제되지 아니한다.,,
27,2021-05-06,10:10:26,방윤후,Kor027@naver.com,1234,"행정각부의 장은 국무위원 중에서 국무총리의 제청으로 대통령이 임명한다. 국회의 회의는 공개한다. 다만, 출석의원 과반수의 찬성이 있거나 의장이 국가의 안전보장을 위하여 필요하다고 인정할 때에는 공개하지 아니할 수 있다. 국무위원은 국정에 관하여 대통령을 보좌하며, 국무회의의 구성원으로서 국정을 심의한다.",,
28,2021-05-05,10:10:05,방채호,Kor028@naver.com,1234,"국가는 재해를 예방하고 그 위험으로부터 국민을 보호하기 위하여 노력하여야 한다. 헌법재판소 재판관의 임기는 6년으로 하며, 법률이 정하는 바에 의하여 연임할 수 있다. 모든 국민은 통신의 비밀을 침해받지 아니한다. 대한민국은 통일을 지향하며, 자유민주적 기본질서에 입각한 평화적 통일 정책을 수립하고 이를 추진한다.",,
29,2021-05-02,10:10:38,배세준,Kor029@naver.com,1234,"제안된 헌법개정안은 대통령이 20일 이상의 기간 이를 공고하여야 한다. 여자의 근로는 특별한 보호를 받으며, 고용·임금 및 근로조건에 있어서 부당한 차별을 받지 아니한다. 제1항의 지시를 받은 당해 행정기관은 이에 응하여야 한다. 대법원장은 국회의 동의를 얻어 대통령이 임명한다. 공무원인 근로자는 법률이 정하는 자에 한하여 단결권·단체교섭권 및 단체행동권을 가진다.",,
30,2021-05-18,10:10:51,배채호,Kor030@naver.com,1234,국회의원은 그 지위를 남용하여 국가·공공단체 또는 기업체와의 계약이나 그 처분에 의하여 재산상의 권리·이익 또는 직위를 취득하거나 타인을 위하여 그 취득을 알선할 수 없다. 모든 국민은 법률이 정하는 바에 의하여 공무담임권을 가진다. 외국인은 국제법과 조약이 정하는 바에 의하여 그 지위가 보장된다.,,
,,,,,,,,
,,,,,,,,
